consumer_id,month,peak_offpeak_ratio,daily_load_factor,flatline_fraction,peak_window_flatline_fraction,midday_dip_index,tariff_boundary_alignment_score,nighttime_drop_index
C-000011,2022-01-01,4.415441,0.2789774,0.3066485753052917,0.016260162601626018,0.5775833,600.0,0.52327013
C-000011,2022-02-01,4.7219634,0.26064473,0.3187311178247734,0.03571428571428571,0.3926241,600.0,0.6724541
C-000011,2022-03-01,3.6268272,0.3282373,0.2452316076294278,0.024793388429752067,0.645855,600.0,0.88177294
C-000011,2022-04-01,2.4916813,0.3515491,0.20815752461322082,0.058823529411764705,0.55881196,0.0,1.3905786
C-000011,2022-05-01,1.9755098,0.36671698,0.18119891008174388,0.024793388429752067,0.69154245,60.0,1.6934899
C-000011,2022-06-01,1.8512933,0.38894475,0.16269284712482468,0.016666666666666666,0.6470346,60.0,2.0154192
C-000011,2022-07-01,3.7848063,0.34041587,0.24932614555256064,0.016129032258064516,0.69361544,1080.0,1.0340217
C-000011,2022-08-01,3.6688733,0.35055724,0.2356948228882834,0.024390243902439025,0.82818025,60.0,0.9406996
C-000011,2022-09-01,5.7340217,0.30681244,0.2762039660056657,0.01680672268907563,0.5998616,660.0,0.58363515
C-000011,2022-10-01,4.662965,0.3135825,0.2708618331053352,0.016260162601626018,0.5455423,600.0,0.66152936
C-000011,2022-11-01,3.6664648,0.3141805,0.29929078014184396,0.05172413793103448,0.6517504,600.0,0.55042183
C-000011,2022-12-01,4.7159863,0.30953804,0.2872777017783858,0.008264462809917356,0.577672,600.0,0.4163734
C-000011,2023-01-01,5.055777,0.31795543,0.28240109140518416,0.025210084033613446,0.7037939,600.0,0.40088892
C-000011,2023-02-01,4.2718997,0.29798546,0.272863568215892,0.009009009009009009,0.8050972,600.0,0.6904897
C-000011,2023-03-01,3.877516,0.282672,0.27906976744186046,0.02459016393442623,0.533847,600.0,0.7729796
C-000011,2023-04-01,2.7182486,0.37140873,0.1861777150916784,0.025423728813559324,0.7458713,0.0,1.354136
C-000011,2023-05-01,1.9345752,0.37061957,0.19315068493150686,0.024390243902439025,0.6535523,60.0,1.6293128
C-000011,2023-06-01,1.6427329,0.38631326,0.1568627450980392,0.03333333333333333,0.78794914,60.0,1.9103181
C-000011,2023-07-01,1.800599,0.36900184,0.1958904109589041,0.04132231404958678,0.7499949,0.0,1.7646555
C-000011,2023-08-01,2.314432,0.3736362,0.18467852257181944,0.040983606557377046,0.64617103,1080.0,1.2462897
C-000011,2023-09-01,4.679764,0.29139987,0.27848101265822783,0.017094017094017096,0.62148196,660.0,0.7517712
C-000011,2023-10-01,4.3148284,0.28808445,0.28125,0.00819672131147541,0.52596426,600.0,0.7030448
C-000011,2023-11-01,3.9720902,0.28860348,0.2915492957746479,0.03418803418803419,0.6071094,600.0,0.56879085
C-000011,2023-12-01,3.935761,0.31133994,0.2818057455540356,0.00819672131147541,0.5766862,600.0,0.52053815
C-000011,2024-01-01,3.7224596,0.2895157,0.3128415300546448,0.02459016393442623,0.5540148,600.0,0.6030991
C-000011,2024-02-01,3.433601,0.2887595,0.3255131964809384,0.07272727272727272,0.53892076,480.0,0.8699409
C-000011,2024-03-01,4.626714,0.30317798,0.24456521739130435,0.016260162601626018,0.67103946,600.0,0.6779099
C-000011,2024-04-01,3.3717272,0.32959095,0.25811001410437234,0.00847457627118644,0.59927166,660.0,1.262829
C-000011,2024-05-01,2.8910327,0.3766839,0.19288645690834474,0.024390243902439025,0.7719779,60.0,1.327035
C-000011,2024-06-01,1.5963917,0.38941386,0.1777150916784203,0.05042016806722689,0.7212696,120.0,2.182384
C-000011,2024-07-01,1.3575804,0.3850697,0.20410958904109588,0.04132231404958678,0.636288,60.0,1.977669
C-000011,2024-08-01,2.8916945,0.35332087,0.23045267489711935,0.02459016393442623,0.69318235,60.0,1.0537323
C-000011,2024-09-01,4.5165696,0.31250635,0.2608695652173913,0.01680672268907563,0.5941812,600.0,0.7398237
C-000011,2024-10-01,4.8604383,0.30364373,0.29201101928374656,0.024193548387096774,0.5617597,600.0,0.528835
C-000011,2024-11-01,3.6286058,0.30379838,0.2943661971830986,0.05128205128205128,0.602248,600.0,0.61327165
C-000011,2024-12-01,4.2732606,0.3113361,0.31657608695652173,0.03278688524590164,0.54114455,600.0,0.4865887
C-000016,2022-01-01,4.8405943,0.28188238,0.6693989071038251,0.14049586776859505,0.30258405,600.0,1.1125631
C-000016,2022-02-01,4.147059,0.30516905,0.6327769347496206,0.15315315315315314,0.47066176,600.0,1.297397
C-000016,2022-03-01,3.9482868,0.29411542,0.6285714285714286,0.14516129032258066,0.41635013,600.0,1.5298088
C-000016,2022-04-01,3.8425436,0.33551705,0.6188466947960619,0.12605042016806722,0.50073564,480.0,1.5481466
C-000016,2022-05-01,1.6839906,0.39286923,0.8457374830852503,0.5206611570247934,0.37802562,60.0,1.7955338
C-000016,2022-06-01,1.6689985,0.3790866,0.8151260504201681,0.5423728813559322,0.3725401,60.0,1.8360764
C-000016,2022-07-01,1.604266,0.3627612,0.9470827679782904,0.8442622950819673,0.37847432,60.0,1.338488
C-000016,2022-08-01,3.512158,0.33129627,0.876358695652174,0.5284552845528455,0.38191777,60.0,0.8567198
C-000016,2022-09-01,4.403136,0.28881982,0.9699140401146131,0.8879310344827587,0.38966617,60.0,0.45196927
C-000016,2022-10-01,4.077636,0.2970388,0.8149659863945579,0.39344262295081966,0.4043988,60.0,0.84274554
C-000016,2022-11-01,5.636624,0.2917826,0.7390070921985815,0.1896551724137931,0.3520331,600.0,0.9032805
C-000016,2022-12-01,4.5233564,0.28189534,0.7079889807162535,0.18548387096774194,0.42065445,600.0,1.0568635
C-000016,2023-01-01,4.687314,0.2784093,0.710204081632653,0.1557377049180328,0.32857308,600.0,1.1159775
C-000016,2023-02-01,4.378918,0.28977665,0.681203007518797,0.23423423423423423,0.42223597,600.0,1.0409869
C-000016,2023-03-01,4.716702,0.2840338,0.7047619047619048,0.16393442622950818,0.3368569,600.0,1.1942403
C-000016,2023-04-01,2.887267,0.3618599,0.9943019943019943,0.9661016949152542,0.45610246,60.0,0.5808843
C-000016,2023-05-01,2.0224075,0.347728,1.0,1.0,0.4158479,60.0,0.3085134
C-000016,2023-06-01,1.74615,0.37140232,0.9588652482269504,0.8166666666666667,0.35433927,60.0,1.2855872
C-000016,2023-07-01,1.5699793,0.3765866,0.8228882833787466,0.5901639344262295,0.3502282,60.0,1.7194259
C-000016,2023-08-01,2.8754988,0.34141496,1.0,1.0,0.3571773,60.0,0.25663754
C-000016,2023-09-01,5.220754,0.26357916,0.7884344146685472,0.36666666666666664,0.4211885,60.0,0.6808805
C-000016,2023-10-01,4.9012814,0.26550516,0.7928669410150891,0.3114754098360656,0.4023571,600.0,0.7568851
C-000016,2023-11-01,6.133818,0.27050924,0.6784702549575071,0.14782608695652175,0.2924871,600.0,0.9265487
C-000016,2023-12-01,4.7642407,0.28805405,0.7883310719131614,0.33064516129032256,0.45129907,600.0,0.7866512
C-000016,2024-01-01,5.3214507,0.28343713,0.7062841530054644,0.14166666666666666,0.4142633,600.0,1.020128
C-000016,2024-02-01,4.6545534,0.2749391,0.6882352941176471,0.15789473684210525,0.327921,600.0,1.134698
C-000016,2024-03-01,3.683338,0.30399594,0.5636114911080712,0.125,0.32643607,600.0,1.8286275
C-000016,2024-04-01,3.4729614,0.31253716,0.6534653465346535,0.1724137931034483,0.30695134,60.0,1.6486267
C-000016,2024-05-01,3.2251372,0.33617765,1.0,1.0,0.42526752,60.0,0.2372993
C-000016,2024-06-01,1.877065,0.36948362,1.0,1.0,0.38654757,60.0,0.3630323
C-000016,2024-07-01,3.273762,0.3535279,0.897680763983629,0.5772357723577236,0.353495,60.0,0.88154465
C-000016,2024-08-01,3.370266,0.34099343,1.0,1.0,0.38100398,60.0,0.1918294
C-000016,2024-09-01,4.898302,0.27265215,0.8084507042253521,0.36134453781512604,0.36284947,600.0,0.7611078
C-000016,2024-10-01,4.47982,0.28267565,0.7830832196452933,0.3360655737704918,0.36855257,600.0,0.80292404
C-000016,2024-11-01,4.412405,0.2971467,0.8214285714285714,0.4358974358974359,0.4433355,60.0,0.8005203
C-000016,2024-12-01,4.657123,0.2845853,0.6970108695652174,0.19008264462809918,0.4667487,600.0,1.1068518
C-000017,2022-01-01,3.593053,0.29932714,0.26575342465753427,0.01639344262295082,0.5056744,600.0,0.4940029
C-000017,2022-02-01,4.197604,0.27082163,0.30165912518853694,0.045454545454545456,0.54787165,660.0,0.64632034
C-000017,2022-03-01,4.3000703,0.29915932,0.2547683923705722,0.024390243902439025,0.5978647,600.0,0.6947978
C-000017,2022-04-01,2.280383,0.3713535,0.2288135593220339,0.01694915254237288,0.5596619,660.0,1.5375077
C-000017,2022-05-01,3.4180017,0.3488376,0.2269021739130435,0.0,0.62584454,0.0,1.0722574
C-000017,2022-06-01,1.7114667,0.38701233,0.12357954545454546,0.01680672268907563,0.73728406,0.0,2.2914438
C-000017,2022-07-01,1.9488,0.34135902,0.22298221614227087,0.056910569105691054,0.6421052,60.0,1.6030287
C-000017,2022-08-01,2.5132673,0.35908124,0.21203830369357046,0.049586776859504134,0.6620376,60.0,1.2779202
C-000017,2022-09-01,4.08716,0.30645192,0.27887323943661974,0.016666666666666666,0.60049975,600.0,0.79874796
C-000017,2022-10-01,4.616511,0.28170857,0.2979591836734694,0.02459016393442623,0.6684794,600.0,0.5135972
